DATA,POR DIA,ACUMULADOS
2020-03-01,8,8
2020-03-02,86,94
2020-03-03,111,205
2020-03-04,113,318
2020-03-05,100,418
2020-03-06,102,520
2020-03-07,35,555
2020-03-08,28,583
2020-03-09,170,753
2020-03-10,167,920
2020-03-11,259,1179
2020-03-12,262,1441
2020-03-13,344,1785
2020-03-14,133,1918
2020-03-15,60,1978
2020-03-16,371,2349
2020-03-17,465,2814
2020-03-18,3506,6320
2020-03-19,996,7316
2020-03-20,1838,9154
2020-03-21,592,9746
2020-03-22,1909,11655
2020-03-23,3354,15009
2020-03-24,2010,17019
2020-03-25,1783,18802
2020-03-26,2583,21385
2020-03-27,1678,23063
2020-03-28,603,23666
2020-03-29,219,23885
2020-03-30,2410,26295
2020-03-31,2465,28760
2020-04-01,1932,30692
2020-04-02,1266,31958
2020-04-03,4500,36458
2020-04-04,1646,38104
2020-04-05,258,38362
2020-04-06,2102,40464
2020-04-07,2193,42657
2020-04-08,2024,44681
2020-04-09,1456,46137
2020-04-10,607,46744
2020-04-11,209,46953
2020-04-12,101,47054
2020-04-13,1262,48316
2020-04-14,2143,50459
2020-04-15,2270,52729
2020-04-16,1363,54092
2020-04-17,1334,55426
2020-04-18,394,55820
2020-04-19,95,55915
2020-04-20,1710,57625
2020-04-21,1571,59196
2020-04-22,1667,60863
2020-04-23,905,61768
2020-04-24,1304,63072
2020-04-25,460,63532
2020-04-26,187,63719
2020-04-27,1138,64857
2020-04-28,1621,66478
2020-04-29,1248,67726
2020-04-30,1637,69363
2020-05-01,261,69624
2020-05-02,259,69883
2020-05-03,129,70012
2020-05-04,1242,71254
2020-05-05,1193,72447
2020-05-06,1254,73701
2020-05-07,854,74555
2020-05-08,1208,75763
2020-05-09,134,75897
2020-05-10,218,76115
2020-05-11,1196,77311
2020-05-12,1373,78684
2020-05-13,697,79381
2020-05-14,562,79943
2020-05-15,709,80652
2020-05-16,63,80715
2020-05-17,27,80742
2020-05-18,495,81237
2020-05-19,447,81684
2020-05-20,478,82162
2020-05-21,421,82583
2020-05-22,1009,83592
2020-05-23,35,83627
2020-05-24,17,83644
2020-05-25,1739,85383
2020-05-26,3622,89005
2020-05-27,542,89547
2020-05-28,993,90540
2020-05-29,16756,107296
2020-05-30,37,107333
2020-05-31,42,107375
2020-06-01,16705,124080
2020-06-02,643,124723
2020-06-03,775,125498
2020-06-04,512,126010
2020-06-05,606,126616
2020-06-06,40,126656
2020-06-07,86,126742
2020-06-08,622,127364
2020-06-09,663,128027
2020-06-10,99,128126
2020-06-11,56,128182
2020-06-12,612,128794
2020-06-13,69,128863
2020-06-14,19,128882
2020-06-15,396,129278
2020-06-16,610,129888
2020-06-17,500,130388
2020-06-18,471,130859
2020-06-19,397,131256
2020-06-20,129,131385
2020-06-21,15,131400
2020-06-22,518,131918
2020-06-23,608,132526
2020-06-24,481,133007
2020-06-25,584,133591
2020-06-26,476,134067
2020-06-27,84,134151
2020-06-28,11,134162
2020-06-29,459,134621
2020-06-30,454,135075
2020-07-01,769,135844
2020-07-02,677,136521
2020-07-03,593,137114
2020-07-04,44,137158
2020-07-05,19,137177
2020-07-06,702,137879
2020-07-07,525,138404
2020-07-08,548,138952
2020-07-09,669,139621
2020-07-10,449,140070
2020-07-11,106,140176
2020-07-12,12,140188
2020-07-13,590,140778
2020-07-14,666,141444
2020-07-15,428,141872
2020-07-16,296,142168
2020-07-17,296,142464
2020-07-18,19,142483
2020-07-19,5,142488
2020-07-20,220,142708
2020-07-21,265,142973
